personaje;genero;roles;teleserie;genero-teleserie;canal;año;tipo-de-accion;estado-civil;fuerza-actua
Marcia Espínola;Femenino;Protagonista;La madrastra;Drama;T13;1981;Regresa después de 20 años para demostrar su inocencia;Casado;Perjudicada
Esteban San Lucas;Masculino;Protagonista;La madrastra;Drama;T13;1981;Le miente a sus hijos y encierra a su esposa en la cárcel ;Casado;Poderoso
Dalia Venezzia;Femenino;Protagonista;La noche del cobarde;Drama;T13;1983;Busca venganza de quien la violó;Soltero;Justicia
Almiro Villarrobles ;Masculino;Antagonista;La noche del cobarde;Drama;T13;1983;Vuelve al pueblo donde viejas culpas lo persiguen;Soltero;Justicia
Hernán Ugalde ;Masculino;Protagonista;La torre 10;Drama;TVN;1984;Llega a la torre pero se enfrenta con su exesposa y diversos problemas;Viudo;Perjudicada
Thelma Bernhardt;Femenino;Antagonista;La torre 10;Drama;TVN;1984;Enamorada, cobra venganzas y daña para que esten con ella;Soltero;Venganza
Teresa Rodríguez;Femenino;Protagonista;Las herederas;Drama;T13;1984;Debe recibirse de periodista para obtener la herencia;Soltero;Obligada
Patricia Duval;Femenino;Protagonista;Las herederas;Drama;T13;1984;Debe casarse con Rafael para obtener la herencia ;Soltero;Obligada
Isadora Duval;Femenino;Protagonista;Las herederas;Drama;T13;1984;Debe dejar su carrera e irse a vivir a una hacienda para obtener la herencia;Soltero;Obligada
Ana María Zelada;Femenino;Protagonista;Las herederas;Drama;T13;1984;Debe vivir con su madre a la que no conoce para recibir la herencia ;Soltero;Obligada
Gilda Díaz-Steiner;Femenino;Protagonista;Las herederas;Drama;T13;1984;Debe volver al país para obtener la herencia;Soltero;Obligada
Ladislao Duval;Masculino;Secundario;Las herederas;Drama;T13;1984;Deja una herencia a mujeres que no compartían nada en común;Soltero;Poderoso
Artemisa Mykonos ;Femenino;Protagonista;Los títeres;Drama;T13;1984;Busca venganza de quien le hacia bullying toda su vida;Prometido;Perjudicada
Adriana Godan;Femenino;Antagonista;Los títeres;Drama;T13;1984;Trata de dañar a la protagonista con el poder y la belleza que tiene;Soltero;Poderoso
Leo Castillo ;Masculino;Protagonista;¿Te conté?;Drama;T13;1990;Debe escoger entre dos enamoradas;Soltero;Líder
Federico Valdivieso;Masculino;Protagonista;Sucupira ;Comedia;TVN;1996;Se postula a alcalde con un pésimo programa;Soltero;Poderoso
Mariana Montero;Femenino;Protagonista;Sucupira ;Comedia;TVN;1996;Se postula a alcalde para poder tener más poder;Viudo;Poderoso
Emilio;Masculino;Protagonista;Playa salvaje;Comedia;TVN;1996;Joven surfista que debe enfrentar sus traumas del pasado;En relación;Perjudicada
Paulina ;Femenino;Protagonista;Playa salvaje;Drama;T13;1997;Novia de emilio que se preocupa de él pero sus miedos la frenan;En relación;Enamorada
Gabriela Ossandón;Femenino;Antagonista;Playa salvaje;Drama;T13;1997;Dueña de una empresa que la conecta con una fallecida de la playa;Soltero;Poderoso
Vaitea Ahoa Tuki ;Femenino;Protagonista;Iorana ;Comedia romántica;TVN;1998;Se quiere casar pero no puede por el padre de su novio;Prometido;Perjudicada
Cristián;Masculino;Protagonista;Iorana ;Comedia romántica;TVN;1998;Se quiere casar pero su padre vuelve a la isla y debe resolver los conflictos que dejo;Prometido;Perjudicada
Catalina Chamorro;Femenino;Protagonista;La fiera;Comedia romántica;TVN;1999;La quieren casar obligada pero se mantiene alejada por su fuerte carácter;Soltero;Obligada
Magdalena Ossandón;Femenino;Antagonista;La fiera;Comedia romántica;TVN;1999;Mantiene una relacion con el hermano de la protagonista pero busca dañarla;Soltero;Poderoso
Emilia Patiño;Femenino;Protagonista;Aquelarre;Drama;TVN;1999;Se hace cargo de administrar las tierras de su padre, se enamora del hijo de Elena;Prometido;Poderoso
Elena Vergara;Femenino;Antagonista;Aquelarre;Drama;TVN;1999;Es benefactora de su pueblo, odia a su hijo sobre todo;Soltero;Poderoso
Jovanka Antich;Femenino;Protagonista;Romané;Comedia romántica;TVN;2000;Joven madre que es humillada por su primer esposo y vuelve a Chile con un secreto;Soltero;Perjudicada
Padre Juan Bautista Domínguez;Masculino;Protagonista;Romané;Comedia romántica;TVN;2000;Padre que se enamora de la protagonista pero es hermano de su primer marido;Soltero;Perjudicada
Rafael Antonio Domínguez;Masculino;Antagonista;Romané;Comedia romántica;TVN;2000;Es padre de una hija de la protagonista pero no lo sabe;Soltero;Perjudicada
Fernanda;Femenino;Secundario;Amores de mercado;Comedia;TVN;2001;Enamorada de Rodolfo no sabe que es su otro hermano;Prometido;Enamorada
Betsabé;Femenino;Secundario;Amores de mercado;Comedia;TVN;2001;Novia enamorada de Pelluco que no sabe que es otra persona quien trabaja en el mercado;Soltero;Enamorada
Pelluco;Masculino;Protagonista;Amores de mercado;Comedia;TVN;2001;Es de clase media que trabaja en el mercado pero sin saberlo cambia de vida con su gemelo;Soltero;Afectado
Rodolfo;Masculino;Protagonista;Amores de mercado;Comedia;TVN;2001;Es de clase alta, vive con lujos pero cambia de vida y entra a trabajar al mercado;Prometido;Afectado
Ignacio Valdés;Masculino;Antagonista;Amores de mercado;Comedia;TVN;2001;Hermanastro que busca quedarse con Fernanda;Soltero;Ambición 
Inés Clark García;Femenino;Protagonista;Pampa ilusión;Comedia romántica;TVN;2001;Se hace pasar por hombre en el día para acercarse a su papá y descubrir su pasado;Soltero;Decisivo 
